Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Halle-Wittenberg (also in Halle);/wiki/University_of_Halle-Wittenberg
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Vechta;/wiki/University_of_Vechta
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Weimar;/wiki/Bauhaus_University,_Weimar
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;Witten/Herdecke University;/wiki/Witten/Herdecke_University
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Wuppertal;/wiki/University_of_Wuppertal
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Würzburg;/wiki/University_of_W%C3%BCrzburg
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Bremen;/wiki/University_of_Bremen
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;Jacobs University Bremen;/wiki/Jacobs_University_Bremen
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Flensburg;/wiki/University_of_Flensburg
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Göttingen;/wiki/University_of_G%C3%B6ttingen
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Greifswald;/wiki/University_of_Greifswald
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Hamburg;/wiki/University_of_Hamburg
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;Helmut Schmidt University (University of the Bundeswehr, Hamburg);/wiki/Helmut_Schmidt_University
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;Leibniz University Hannover;/wiki/Leibniz_University_Hannover
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Hildesheim;/wiki/University_of_Hildesheim
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Kiel;/wiki/University_of_Kiel
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Lübeck;/wiki/University_of_L%C3%BCbeck
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Lüneburg;/wiki/University_of_L%C3%BCneburg
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Oldenburg;/wiki/University_of_Oldenburg
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Osnabrück;/wiki/University_of_Osnabr%C3%BCck
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Rostock;/wiki/University_of_Rostock
Germany;https://en.wikipedia.org//wiki/List_of_universities_in_Germany;University of Vechta;/wiki/University_of_Vechta
